date (yyyy/mm/dd),time (UT),detector,AW (deg),Central PA (deg),height (Rs),center_mass (Rs),mass (g),potential (erg)
2013/02/09,06:15:00,c1A,40.00,60.73,1.90,1.71,6.925e+14,5.593e+29
2010/12/12,05:25:51,c1B,45.00,322.31,2.80,1.62,1.739e+15,1.242e+30
2013/01/23,17:24:56,c2B,78.00,319.56,11.50,7.42,3.148e+15,5.221e+30
2013/01/29,06:24:55,c2B,50.00,352.07,7.20,4.52,6.562e+14,9.657e+29
2013/04/24,06:59:17,C2,44.00,154.79,4.90,2.88,9.909e+14,1.221e+30
2010/12/12,11:24:51,c2B,48.00,317.29,12.80,9.59,2.868e+15,4.914e+30
2010/12/12,11:24:51,c2B,48.00,317.31,13.00,9.68,2.948e+15,5.055e+30
2013/01/23,14:05:56,c1B,50.00,310.45,2.70,1.75,4.963e+15,4.041e+30
2013/05/17,22:39:27,c2B,54.00,142.89,7.80,5.25,1.614e+15,2.500e+30
2013/05/27,19:50:00,c1A,48.00,222.07,3.50,2.49,1.630e+15,1.892e+30
2013/01/23,14:46:54,C2,90.00,17.03,3.70,2.63,1.699e+15,2.086e+30
2013/01/29,02:50:55,c1B,58.00,338.49,2.60,1.92,9.466e+14,8.840e+29
2013/01/29,03:30:55,c1B,58.00,342.59,3.60,2.36,9.919e+14,1.085e+30
2013/05/17,23:54:27,c2B,54.00,142.32,12.00,7.54,2.320e+15,3.823e+30
2013/01/29,05:11:51,C2,51.00,341.81,5.80,3.61,6.551e+14,8.801e+29
2011/03/17,12:35:26,c1B,61.00,117.17,2.60,1.86,2.643e+15,2.387e+30
2011/06/05,04:30:25,c1B,64.00,315.07,3.40,2.74,7.110e+14,9.765e+29
2011/06/05,08:54:25,c2B,95.00,314.73,8.20,4.97,5.562e+15,8.517e+30
2010/12/12,05:55:00,c1A,40.00,38.52,3.20,2.02,9.384e+14,8.775e+29
2013/05/27,19:25:00,c1A,39.00,228.57,2.50,1.70,4.927e+15,3.820e+30
2010/12/12,09:39:00,c2A,43.00,43.6,9.20,6.88,2.210e+15,3.600e+30
2013/04/24,06:45:28,c1B,54.00,177.03,3.80,2.19,9.356e+14,9.609e+29
2013/02/09,07:47:01,C2,70.00,348.01,5.80,3.56,3.664e+15,4.987e+30
2013/06/07,23:35:55,C2,55.00,217.64,4.40,2.91,2.801e+15,3.520e+30
2010/12/12,07:57:36,C2,45.00,29.7,5.50,4.01,8.852e+14,1.261e+30
2013/05/17,22:10:46,C2,63.00,198.76,5.90,3.55,1.915e+15,2.606e+30
2011/06/05,04:20:25,c1B,64.00,314.74,3.20,2.58,7.634e+14,9.915e+29
2011/03/17,14:54:26,c2B,74.00,120.05,13.00,7.21,8.037e+15,1.312e+31
2011/06/05,08:39:25,c2B,95.00,314.47,7.00,4.58,5.067e+15,7.616e+30
2011/06/05,08:39:25,c2B,95.00,314.83,7.50,4.67,5.270e+15,7.952e+30
2013/05/02,05:55:27,c1B,67.00,328.87,3.20,2.24,2.803e+15,3.047e+30
2011/06/05,03:30:25,c1B,62.00,314.88,2.50,2.25,3.488e+14,4.118e+29
2013/01/29,06:39:55,c2B,50.00,354.02,7.60,4.81,4.428e+14,6.614e+29
2011/06/05,05:40:30,C2,40.00,38.31,3.10,2.45,8.295e+14,9.406e+29
2013/05/17,21:00:27,c1B,53.00,141.36,3.10,2.20,1.455e+15,1.536e+30
2011/03/17,13:25:25,C2,140.00,130.78,4.70,2.45,6.649e+15,8.325e+30
2013/02/09,06:05:52,c1B,50.00,316.7,1.60,1.46,1.489e+14,9.290e+28
2013/06/07,23:30:00,c1A,67.00,144.76,3.90,2.74,3.213e+15,4.049e+30
2013/01/29,05:39:55,c2B,50.00,353.22,6.40,4.47,3.949e+14,5.826e+29
2010/12/14,16:24:00,c2A,83.00,36.54,5.20,3.55,3.801e+15,5.286e+30
2011/06/05,06:00:25,c1B,67.00,314.4,3.80,2.92,1.561e+15,2.166e+30
2011/06/05,09:24:25,c2B,95.00,315.46,9.80,5.58,6.059e+15,9.509e+30
2013/05/17,20:50:00,c1A,54.00,205.26,2.70,1.99,1.113e+15,1.092e+30
2013/05/17,21:15:27,c1B,56.00,142.16,3.70,2.50,1.756e+15,2.033e+30
2013/05/27,19:00:00,c1A,35.00,234.29000000000002,2.00,1.57,6.607e+14,4.553e+29
2013/05/27,22:24:00,c2A,56.00,216.51,11.00,6.74,3.580e+15,5.781e+30
2013/01/29,03:47:50,C2,48.00,348.85,3.80,2.81,5.889e+14,7.219e+29
2013/06/08,01:24:19,c2B,60.00,166.59,10.40,6.62,4.417e+15,7.159e+30
2013/05/17,23:54:00,c2A,50.00,187.13,11.80,6.72,3.472e+15,5.554e+30
2013/05/02,06:22:24,C2,65.00,349.3,4.70,3.21,3.410e+15,4.480e+30
2010/12/12,05:50:51,c1B,42.00,320.88,2.95,1.70,1.648e+15,1.245e+30
2011/06/05,04:10:25,c1B,64.00,313.87,3.00,2.40,8.144e+14,9.853e+29
2013/05/02,05:35:00,c1A,70.00,46.62,3.80,2.94,1.567e+15,2.047e+30
2013/05/02,09:39:27,c2B,63.00,339.86,10.00,7.09,3.803e+15,6.248e+30
2010/12/14,17:54:00,c2A,95.00,36.34,12.30,7.09,6.505e+15,1.064e+31
