ID,Date,NOAA_AR,Comments_1,Links,Solar_region,Comments_2,FIL_activation_time,Flare_presence,fil_lon1,fil_lat1,fil_lon2,fil_lat2,fil_length,fil_length.Mm,gcs_lat,gcs_lon,gcs_radial_vel_at2,gcs_radial_vel_at6,gcs_mean_acc1to6,gcs_awd,gcs_awd_err,gcs_awl,gcs_awl_err,gcs_awl_awd_ratio,gcs_aspect_ratio,gcs_axial_vel,gcs_lat_vel,ar_source,ar_unsigned_flux,ar_mean_current_helicity,ar_total_unsigned_current_helicity,ar_abs_net_current_helicity,ar_excess_mag_energy_density,ar_free_energy_density,ar_time_tilt,ar_tilt,pil_length,EUV loops comments,Instrument,ROI box [arcsec],EUV loops data start time,EUV loops data end time,Favorite link Hebe
1,12/12/2010,---,Filamento polonorte lado este. Se ve super bien en Stereo B,"https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20101212_0044&etime=20101212_1008&img1=lasc2rdf&title=20101212.050006.p036g;V=485km/s

https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20101212_0000&etime=20101213_0000

https://www.solarmonitor.org/full_disk.php?date=20101212&type=shmi_maglc&region=&indexnum=1",Cuadrante Noreste; Limbo solar,"Ver PELs en AIA 193, siguen hacia el E en EUVI-B",Algún momento entre la 01:00 y las 2:00,No,46.5,56.7,182,59.5,"711,210.90",711.21,46,-26,135,340,17,27,7,51,13,1.89,0.2334453639,111,190,Backsided,,,,,,,,--,,"NW en EUVI-B, pero para medir mejor usar AIA (todo el N, no alcanza el NE)",AIA,-838/1065/400/400,2010/12/12 1:00:00,2010/12/12 15:00:00,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sdo_a193&stime=20101212_0000&etime=20101212_1500
2,14/12/2010,11133.11134,Se ve claramente que sale de las AR 11133 & 11134,"https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20101214_0842&etime=20101215_0318&img1=lasc2rdf&title=20101214.230556.p041g;V=447km/s

https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20101214_1200&etime=20101214_1600

https://www.solarmonitor.org/full_disk.php?date=20101214&type=shmi_maglc&region=&indexnum=11",Cuadrante Noroeste,Plots Lucho,"13:37:00, Flare start 15:03, flare peak 15:50",C23,166,40.2,181,13.5,"361,420.00",361.42,45,46,391,984,146,47,13,87,24,1.85,0.3987490689,670,1039,S,5.78E+21,-1.21E-02,3.22E+02,1.06E+02,7.42E+03,8.61E+22,2010/12/14 13:37:00,92.7,69.7,"Se ve en AIA al oeste, pero mejor usar EUVI-A cuadrante NE",EUVI-A,-857/620/-157/132,2010/12/14 14:50:00,2010/12/14 23:59:00,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=sta_e195&img2=sdo_a193&stime=20101214_1500&etime=20101214_2359
3,17/03/2011,---,Rear disk,"https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20110317_1128&etime=20110317_1602&img1=lasc2rdf&title=20110317.123606.p128g;V=739km/s

https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20110317_0000&etime=20110318_0000",Detrás,,"12:21:00, Flare start 11:50, flare peak 11:53",B46,183,-18.6,184,-24.4,"71,324.35",71.32,-24,-149,348,877,116,53,15,143,38,2.70,0.4461978131,1319,2489,Backsided,,,,,,,,--,,"Se ve en cuadrante SE de EUVI-B, cerca de su limbo, no muy feliz",EUVI-B,-1200/0/-500/-700,2011/03/17 10:00,2011/03/17 22:00,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sdo_a193&stime=20110317_1000&etime=20110317_2200
4,05/06/2011,11231.11232,"Se observa arriba
 de la AR 11232","https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20110605_0203&etime=20110605_1129&img1=lasc2rdf&title=20110605.082414.p295g;V=807km/s

https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20110605_0000&etime=20110606_0000

https://www.solarmonitor.org/full_disk.php?date=20110605&type=shmi_maglc&region=&indexnum=1",Cuadrante Noreste,Plots Lucho,3:55,No,323,41.2,352,28.2,"327,498.80",327.50,33,-38,107,271,11,38,10,94,22,2.47,0.3255681545,172,321,S,5.72E+21,1.87E-03,3.62E+02,1.72E+01,5.48E+03,6.84E+22,2011/06/05 3:55:00,126,42.2,"En los EUVIs es muy limbo, no sirven. Se ve en cuad NE de AIA.",AIA,-700/750/-40/123,2011/06/05 3:00:00,2011/06/05 16:00:00,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sdo_a193&stime=20110605_0300&etime=20110605_1600
5,23/01/2013,11661,Filamento arriba ,"https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130123_1300&etime=20130123_1811&img1=lasc2rdf&title=20130123.141205.p016g;V=530km/s

https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130123_0000&etime=20130124_0000","Cuadrante Noreste, cerca del centro",,13:06,No,12.5,4.5,342,25.8,"438,916.61",438.92,42,-12,250,601,53,47,13,77,21,1.64,0.3987490689,363,512,Custom,,,,,,,,143,,"Backsided para A, behind NW limb para B, sólo sirve AIA cuad NE",AIA,-850/700/-330/170,2013/01/23 12:00:00,2013/01/23 20:00:00,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sdo_a193&stime=20130123_1200&etime=20130123_2000
6,29/01/2013,11662,"Se observa arriba
 de la AR 11662","https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130129_0122&etime=20130129_0758&img1=lasc2rdf&title=20130129.023605.p349g;V=323km/s

https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130129_0000&etime=20130130_0000

https://www.solarmonitor.org/full_disk.php?date=20130129&type=shmi_maglc&region=&indexnum=1",Norte,"Plots Lucho -- ojo en realidad el filamento está al norte de la AR 11662, entonces tilt AR distinto de tilt filamento",1:18,No,303,42.1,316,38.7,"126,944.17",126.94,63,19,229,416,21,31,9,54,16,1.74,0.2672383761,130,188,S,4.35E+21,-5.72E-03,2.48E+02,3.94E+01,7.64E+03,7.01E+22,2013/01/29 1:18:00,46.8,112.7,"Backsided para A y B, N para AIA",AIA,-400/1000/250/350,2013/01/29 0:00:00,2013/01/29 8:00:00,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sdo_a193&stime=20130129_0000&etime=20130129_0800
7,09/02/2013,"11669,11670","Se observa claramente
 que sale de la AR ","https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130209_0524&etime=20130209_1016&img1=lasc2rdf&title=20130209.063605.p352g;V=617km/s

https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130209_0000&etime=20130210_0000

https://www.solarmonitor.org/full_disk.php?date=20130209&type=shmi_maglc&region=&indexnum=1","Oeste, limbo solar",Plots Lucho,"05:40:00, Flare start 05:30, flare peak 06:40",C24,167,30.5,178,20.5,"170,897.98",170.90,26,10,393,991,148,34,9,64,16,1.88,0.2923717047,442,694,Custom,8.33E+21,-8.81E-04,7.06E+02,1.33E+01,9.03E+03,1.65E+23,2013/02/09 5:40:00,145,71.51,"Backsided para A y B, N para AIA",AIA,-350/800/350/180,2013/02/09 5:00:00,2013/02/09 12:00:00,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sdo_a193&stime=20130209_0500&etime=20130209_1200
8,24/04/2013,---,Rear disk,"https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130424_0459&etime=20130424_0956&img1=lasc2rdf&title=20130424.061207.p159g;V=596km/s

https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130424_0000&etime=20130425_0000","Cuadrante sureste, limbo solar (R)",,5:16,Backsided,131,-29.6,158,-30.7,"283,122.46",283.12,-49,-148,358,874,114,33,9,46,13,1.39,0.2840153447,303,379,Backsided,,,,,,,,--,,"Backsided para A, behind limb para AIA, se ve en EUVI-B south cuad",EUVI-B,-300/-50/650/-800,2013/04/24 4:00:00,2013/04/24 18:00:00,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sdo_a193&stime=20130424_0400&etime=20130424_1800
9,02/05/2013,11731,"Se ve un flare en 304 en la region 11731, y se logra ver la erupción en stereo A por triangulación la cme parece venir de ahí confirmar con hebe","https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130501_0000&etime=20130502_1200

https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130502_0257&etime=20130502_0830&img1=lasc2rdf&title=20130502.040005.p086g;V=289km/s","Cuadrante Noroeste, cerca del centro",Plots Lucho,"04:58 Flare start 04:58, flare peak 05:10",M11,197,12.9,199,11,"33,115.41",33.12,36,13,613,740,30,31,9,65,18,2.10,0.2672383761,304,539,S,2.30E+22,4.03E-03,2.10E+03,1.68E+02,5.16E+03,2.87E+23,2013/05/02 4:58:00,81,200.4,"Backsided para A y B, se ve en AIA pero loops solo en una esquina de la erupción, es lo que medí, tomar con pinzas",AIA,10/570/700/0,2013/05/02 4:00:00,2013/05/02 12:00:00,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sdo_a193&stime=20130502_0400&etime=20130502_1200
10,17/05/2013,---,Se ve re bien que sale del Rear disk en stereo A & B,"https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130517_1928&etime=20130518_0112&img1=lasc2rdf&title=20130517.203607.p142g;V=424km/s

https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130517_0000&etime=20130518_0000","Sur, limbo solar",,18:56,Backsided,130,-42,151,-21.5,"328,237.81",328.24,-49,154,306,620,52,38,10,68,17,1.79,0.3255681545,330,513,Backsided,,,,,,,,--,,"Se ve en A (SW) y B, pero mejor B (SE)",EUVI-B,-800/-100/-100/-715,2013/05/17 18:00:00,2013/05/18 10:00:00,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sdo_a193&stime=20130517_1800&etime=20130518_1000
