,ID,T_REC,USFLUX,ERRVF,MEANJZH,ERRMIH,TOTUSJH,ERRTUI,ABSNJZH,ERRTAI,MEANPOT,ERRMPOT,TOTPOT,ERRTPOT
0,1.200e+01,2013.06.07_21:00:00.000_TAI,1.387e+22,6.927e+18,-1.220e-03,2.921e-04,5.955e+02,6.115e+00,2.553e+01,6.115e+00,5.668e+03,6.892e+00,1.576e+23,1.916e+20
1,1.200e+01,2013.06.07_21:12:00.000_TAI,1.410e+22,6.936e+18,3.698e-04,3.143e-04,5.602e+02,6.458e+00,7.599e+00,6.458e+00,5.062e+03,6.833e+00,1.382e+23,1.865e+20
2,1.200e+01,2013.06.07_21:24:00.000_TAI,1.443e+22,7.004e+18,6.522e-04,3.143e-04,5.450e+02,6.526e+00,1.354e+01,6.526e+00,4.850e+03,6.476e+00,1.338e+23,1.786e+20
3,1.200e+01,2013.06.07_21:36:00.000_TAI,1.461e+22,7.302e+18,8.686e-04,3.085e-04,5.507e+02,6.506e+00,1.832e+01,6.506e+00,4.682e+03,6.376e+00,1.311e+23,1.785e+20
4,1.200e+01,2013.06.07_21:48:00.000_TAI,1.411e+22,6.960e+18,-5.758e-05,3.090e-04,5.530e+02,6.335e+00,1.181e+00,6.335e+00,5.257e+03,6.682e+00,1.432e+23,1.820e+20
5,1.200e+01,2013.06.07_22:00:00.000_TAI,1.441e+22,6.441e+18,7.428e-04,2.997e-04,5.407e+02,6.168e+00,1.529e+01,6.168e+00,4.689e+03,5.981e+00,1.282e+23,1.635e+20
6,1.200e+01,2013.06.07_22:12:00.000_TAI,1.440e+22,6.697e+18,1.228e-03,3.050e-04,5.330e+02,6.190e+00,2.492e+01,6.190e+00,4.516e+03,6.174e+00,1.217e+23,1.664e+20
7,1.200e+01,2013.06.07_22:24:00.000_TAI,1.359e+22,6.197e+18,5.895e-04,3.256e-04,5.264e+02,6.205e+00,1.123e+01,6.205e+00,4.616e+03,6.379e+00,1.168e+23,1.614e+20
8,1.200e+01,2013.06.07_22:36:00.000_TAI,1.357e+22,6.882e+18,1.652e-04,3.380e-04,5.286e+02,6.343e+00,3.101e+00,6.343e+00,4.846e+03,7.113e+00,1.208e+23,1.773e+20
9,1.200e+01,2013.06.07_22:48:00.000_TAI,1.276e+22,6.781e+18,1.905e-03,3.350e-04,5.416e+02,6.259e+00,3.560e+01,6.259e+00,5.311e+03,7.667e+00,1.318e+23,1.903e+20
10,1.200e+01,2013.06.07_23:00:00.000_TAI,1.236e+22,6.348e+18,2.556e-03,3.426e-04,5.211e+02,6.117e+00,4.564e+01,6.117e+00,5.433e+03,7.546e+00,1.288e+23,1.789e+20
