file,lon [arcsec],lat [arcsec]
AIA20101212_012907_0193.fits,[],[]
AIA20101212_020907_0193.fits,[],[]
AIA20101212_015907_0193.fits,[],[]
AIA20101212_023907_0193.fits,[],[]
AIA20101212_022907_0193.fits,[],[]
AIA20101212_030907_0193.fits,[],[]
AIA20101212_025907_0193.fits,[],[]
AIA20101212_033907_0193.fits,[],[]
AIA20101212_032907_0193.fits,[],[]
AIA20101212_040907_0193.fits,[],[]
AIA20101212_035907_0193.fits,[],[]
AIA20101212_043907_0193.fits,[],[]
AIA20101212_042907_0193.fits,[],[]
AIA20101212_050907_0193.fits,[],[]
AIA20101212_045907_0193.fits,[],[]
AIA20101212_053907_0193.fits,[],[]
AIA20101212_052907_0193.fits,"[-443.7089929971844, -416.2445962559432, -386.28341937460937, -358.8189928831998, -318.870713718934, -286.4127191461157, -381.2898882755544, -356.3222261928022, -326.3610179750249, -291.4062577362638, -258.9482510564849, -231.48377378471196]","[858.4304769693247, 848.4438097741739, 843.450593886333, 845.9475252730696, 850.941252349223, 835.9610686003315, 900.8753131321096, 893.3853384028092, 895.8822772509866, 893.3857798696696, 883.3990637841406, 863.4253808082743]"
AIA20101212_060907_0193.fits,[],[]
AIA20101212_055907_0193.fits,"[-458.6895664690528, -426.23165137530304, -391.27695002104156, -358.8189928831998, -328.85778586985543, -293.9030269035138, -266.4385614870116, -396.2704802087974, -371.30282474239357, -341.3416238843929, -303.89010270428844, -271.4321013849694, -241.47085743001662, -216.50314629659988]","[853.4368905382323, 853.4371786176616, 848.4440108084815, 835.9606096209961, 848.4444590068981, 843.4512167354447, 820.980786106101, 895.8817453652175, 900.8753927072041, 908.3657870121842, 918.35293508469, 905.8695205811772, 883.3991545832566, 850.9418004170495]"
AIA20101212_063907_0193.fits,[],[]
AIA20101212_062907_0193.fits,"[-478.6636568766553, -451.19928032811725, -423.7348877808545, -393.77371517266147, -343.83839119016193, -318.870713718934, -273.92887121485546, -243.96762816607952, -366.3092923199292, -326.3610179750249, -288.9094884835649, -263.94179142056964, -241.47085743001662, -218.99991770740598, -196.5289727866184, -171.56125075975433]","[843.4498018527455, 838.4566015587847, 838.4568383369544, 835.9603511765837, 845.9476299211931, 855.9347092820499, 838.4578681817529, 803.5037606622232, 913.3590415331341, 910.862616304099, 913.3595858882549, 898.379390103078, 880.9024277686273, 863.4254378729266, 848.4451522286938, 853.4387055377464]"
AIA20101212_070907_0193.fits,[],[]
