file,lon [arcsec],lat [arcsec]
20130424_040030_14euB.fts,[],[]
20130424_042530_14euB.fts,[],[]
20130424_044530_14euB.fts,[],[]
20130424_051030_14euB.fts,[],[]
20130424_053030_14euB.fts,[],[]
20130424_055530_14euB.fts,"[237.27320499812785, 218.921116678074, 196.49078183130644, 151.6300987265945, 92.49554067704814, 198.52990338099042, 176.09956428756237, 157.7474655438449, 104.73027839355703, 37.43921414118634]","[-538.1835336618668, -554.4964503249189, -578.965796220905, -591.2005412456566, -593.2397479518498, -495.3623374225897, -511.675270532877, -521.8708574911656, -527.9882726877648, -499.4407817710075]"
20130424_061530_14euB.fts,[],[]
20130424_064030_14euB.fts,"[253.58616924908642, 210.76463185041504, 188.33429525237366, 163.86483208360397, 127.16062889771494, 206.68638918780542, 184.25605174042042, 163.86483208358263, 119.0041381253518, 63.94781695612807]","[-552.4540564164339, -566.7279369353091, -578.962637604073, -589.1582283718581, -599.3538328623562, -495.35913820133607, -505.554742257472, -519.8285556721897, -511.67219187137385, -505.5549196724397]"
20130424_070030_14euB.fts,[],[]
20130424_072530_14euB.fts,"[251.54704888704765, 214.84287434825887, 180.17780808447384, 147.5518540329386, 125.12150624096235, 100.65203256573758, 65.98694017332764, 212.8037531201419, 180.17780808446173, 161.82570993521213, 133.2779967173871, 82.29992541244908, 61.90869372653917, 15.008856912120233]","[-562.6464181472176, -576.9202786067187, -589.1550095396329, -605.4679299465986, -607.5070788813839, -599.3506954263353, -621.7808960188833, -487.1995002171531, -511.66890183705107, -509.6298292849921, -509.6298797416642, -509.62994556214085, -483.1215134690983, -450.4957264998847]"
20130424_074530_14euB.fts,"[259.7035300362561, 227.07760082105423, 196.49078183131354, 153.66922102919435, 133.27799671739706, 108.80852413956082, 65.986940173284, 214.84287434823807, 184.25605174043062, 159.78658775513068, 121.04326085433996, 86.37817156930764, 57.83044723135913, 12.969733502051968]","[-564.6854971491765, -580.9984541852857, -593.2331784809852, -601.3897060319194, -621.78079803768, -609.5462115140541, -623.8200007434842, -493.3168276046163, -511.66889289993253, -503.5125016878026, -503.5125660704638, -497.3952749080508, -470.8868416412316, -442.33927134767674]"
20130424_081030_14euB.fts,[],[]
20130424_083030_14euB.fts,"[339.2291747779783, 265.82089036629407, 216.88199553400298, 174.0604423369676, 143.47360922348847, 119.00413812502477, 74.14343290844299, 218.92111667777343, 188.33429525204573, 155.7083433014297, 121.04326085403268, 96.57378665881527, 63.94781695585543, 8.891486674520023]","[-472.92533331072184, -564.6854758149245, -603.428645382232, -597.3114478474828, -619.7416729619952, -603.4288785238684, -634.0155140134016, -489.23859594254276, -509.62977369131056, -503.5125093015437, -493.3170102620582, -499.43437529418674, -468.84772477867114, -436.2219293048303]"
20130424_090030_14euB.fts,"[335.1477588463341, 261.73947020249994, 216.87881553755554, 172.01814035492126, 149.58779639571205, 92.49236067735805, 51.709897404763424, 225.03529985437805, 194.44848024569168, 159.78340775675895, 127.15744889862347, 108.80534414015645, 84.33586849935166, 17.044800318954533]","[-472.922168629235, -550.4085619840503, -605.464570202378, -607.5037994220492, -629.9340007940328, -644.2078294471827, -625.8559377349026, -491.2745110415405, -501.470138640373, -503.5093217137294, -495.35293280266245, -499.4311805685912, -472.9227533807999, -438.2578624844921]"
20130424_093030_14euB.fts,[],[]
20130424_100030_14euB.fts,"[349.42158347001026, 261.7394702024935, 218.91793668135463, 182.2137499324043, 139.3921843037236, 86.37499156956054, 61.90551372649757, 229.1135417504752, 200.5658448946286, 163.86165208534155, 129.196571530602, 102.68797549016365, 76.17937605757771, 25.201293910084438]","[-476.997153705205, -601.3830288020274, -613.6178017623164, -611.5788032987598, -636.0481538861209, -636.0482433575813, -636.0482704792327, -491.2713203681506, -495.3496127715432, -495.34969063919783, -495.3497497784385, -481.0760033676607, -464.76312969486105, -434.17645215581666]"
20130424_103030_14euB.fts,[],[]
20130424_110030_14euB.fts,"[349.42158346995467, 267.8568303783583, 225.0352998543222, 186.29199351684153, 149.58779639567982, 84.33586849928534, 31.318664053018487, 229.11354175043283, 196.48760183385596, 169.97901833693825, 141.43130677819755, 116.96183537384056, 92.49236067736751, 37.436034140993385]","[-481.07537269533003, -605.4612144019812, -617.69599025635, -621.774314300731, -644.2045448376275, -648.282866862944, -656.4393255727625, -485.15398815552606, -505.5451746495408, -503.5061218388606, -497.3888416346911, -481.075985641955, -466.802227482252, -442.3329049659609]"
20130424_113030_14euB.fts,[],[]
20130424_120030_14euB.fts,[],[]
20130424_123030_14euB.fts,[],[]
20130424_130030_14euB.fts,[],[]
20130424_133030_14euB.fts,[],[]
20130424_140030_14euB.fts,[],[]
20130424_143030_14euB.fts,[],[]
20130424_150030_14euB.fts,[],[]
20130424_153030_14euB.fts,[],[]
20130424_160030_14euB.fts,[],[]
